epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.79691,1.50942,2.65448,1.37907,0.0034,0.98485,0.4283,0.2886,1.39841,3.25334,1.35588,0.00093,0.00093,0.06993
2,18.7253,1.23019,1.92202,1.26154,0.57514,0.32439,0.50468,0.34989,1.21405,2.63439,1.31165,0.00184322,0.00184322,0.0388432
3,27.9369,1.18705,1.75348,1.22251,0.51251,0.78283,0.60457,0.45619,1.02701,1.65543,1.14984,0.00270893,0.00270893,0.00770893
4,38.7424,1.17933,1.68929,1.22159,0.27817,0.68151,0.34023,0.26105,1.0101,21.861,1.27871,0.00277725,0.00277725,0.00277725
5,49.1886,1.11984,1.57444,1.20358,0.5526,0.76558,0.59429,0.47189,0.90115,1.65586,1.05625,0.002703,0.002703,0.002703
6,58.7306,1.0859,1.50928,1.17309,0.46072,0.91375,0.69185,0.52873,0.90175,1.48666,1.06659,0.00262875,0.00262875,0.00262875
7,67.6551,1.11276,1.50952,1.20686,0.63067,0.89277,0.70088,0.5637,0.86891,1.41279,1.052,0.0025545,0.0025545,0.0025545
8,82.4535,1.15281,1.50092,1.19333,0.54545,0.76005,0.64906,0.45398,1.12448,1.61527,1.11826,0.00248025,0.00248025,0.00248025
9,97.0624,1.07942,1.39518,1.15999,0.51468,0.90536,0.65959,0.5047,0.84298,1.42301,1.0183,0.002406,0.002406,0.002406
10,110.689,1.05643,1.41775,1.13106,0.56379,0.85038,0.6482,0.5029,0.90856,1.51213,1.03838,0.00233175,0.00233175,0.00233175
11,126.35,1.06054,1.34325,1.15297,0.55667,0.85238,0.69728,0.57389,0.76413,1.2682,0.97398,0.0022575,0.0022575,0.0022575
12,142.328,0.95776,1.32199,1.11031,0.56195,0.89773,0.69791,0.56581,0.81686,1.19394,1.01212,0.00218325,0.00218325,0.00218325
13,155.35,1.00225,1.28051,1.10816,0.61559,0.88912,0.66787,0.53365,0.85144,1.15548,1.02604,0.002109,0.002109,0.002109
14,165.818,0.96419,1.26267,1.1195,0.61044,0.8818,0.6634,0.53474,0.7527,1.19859,1.00914,0.00203475,0.00203475,0.00203475
15,176.698,0.97632,1.23553,1.10198,0.5636,0.98216,0.6765,0.53956,0.78881,1.1222,1.01227,0.0019605,0.0019605,0.0019605
16,186.385,0.9638,1.20967,1.10919,0.49842,0.92859,0.70036,0.56818,0.8212,1.15754,1.01485,0.00188625,0.00188625,0.00188625
17,194.605,0.93211,1.22984,1.07556,0.55779,0.98485,0.70116,0.58465,0.69585,1.01715,0.95757,0.001812,0.001812,0.001812
18,203.881,0.93282,1.20008,1.09958,0.5425,0.91912,0.71891,0.57458,0.76321,1.1343,1.03954,0.00173775,0.00173775,0.00173775
19,213.534,0.92996,1.20647,1.10159,0.61135,0.93699,0.71125,0.57021,0.797,1.08441,1.01411,0.0016635,0.0016635,0.0016635
20,222.01,0.91955,1.16141,1.07643,0.63178,0.95491,0.6796,0.55444,0.72847,1.08125,0.98662,0.00158925,0.00158925,0.00158925
21,229.336,0.88033,1.11323,1.06652,0.63358,0.94406,0.68815,0.59051,0.69638,1.02956,0.97814,0.001515,0.001515,0.001515
22,238.798,0.88688,1.14865,1.08262,0.6283,0.93357,0.71917,0.61424,0.6561,0.95717,0.96351,0.00144075,0.00144075,0.00144075
23,247.594,0.86287,1.12052,1.06548,0.62658,0.95921,0.75889,0.62377,0.66084,0.94492,0.97428,0.0013665,0.0013665,0.0013665
24,256.803,0.86894,1.10152,1.05858,0.58401,0.96043,0.77889,0.64692,0.63581,0.94136,0.97541,0.00129225,0.00129225,0.00129225
25,267.379,0.84892,1.08793,1.04498,0.62583,0.90909,0.76921,0.6428,0.68021,1.03912,0.98163,0.001218,0.001218,0.001218
26,276.927,0.86806,1.12112,1.09276,0.60877,0.94406,0.76075,0.62747,0.66405,1.02596,0.97141,0.00114375,0.00114375,0.00114375
27,286.681,0.78345,1.044,1.0402,0.60312,0.94581,0.77144,0.66124,0.64343,0.95146,0.96931,0.0010695,0.0010695,0.0010695
28,295.441,0.77722,1.02824,1.0239,0.63855,0.963,0.78906,0.66764,0.65129,0.9532,0.9719,0.00099525,0.00099525,0.00099525
29,305.273,0.78762,1.04259,1.03309,0.63093,0.97079,0.82562,0.70069,0.62272,0.9863,0.96603,0.000921,0.000921,0.000921
30,314.523,0.80374,1.0439,1.04326,0.66659,0.8544,0.8576,0.72585,0.69108,0.93493,0.97529,0.00084675,0.00084675,0.00084675
31,323.35,0.63224,0.87174,0.93441,0.65778,0.86397,0.85972,0.73517,0.64954,0.94578,0.97214,0.0007725,0.0007725,0.0007725
32,333.352,0.60934,0.81213,0.96117,0.62558,0.93929,0.84446,0.73045,0.60878,0.96536,0.94958,0.00069825,0.00069825,0.00069825
33,342.708,0.60769,0.81347,0.97277,0.64983,0.96185,0.84118,0.72435,0.5987,1.04764,0.94419,0.000624,0.000624,0.000624
34,351.593,0.59045,0.80017,0.94715,0.6657,0.95702,0.84342,0.72647,0.61048,1.07022,0.95651,0.00054975,0.00054975,0.00054975
35,360.638,0.59072,0.79134,0.93679,0.68323,0.89991,0.84365,0.72102,0.61155,0.97545,0.94722,0.0004755,0.0004755,0.0004755
36,370.556,0.5798,0.73237,0.9485,0.67911,0.88811,0.86351,0.75651,0.55861,0.99609,0.9337,0.00040125,0.00040125,0.00040125
37,378.666,0.55228,0.72834,0.92086,0.71861,0.90825,0.86879,0.75379,0.54717,1.02318,0.93785,0.000327,0.000327,0.000327
38,387.21,0.55403,0.73532,0.93281,0.74077,0.87762,0.89198,0.76335,0.54977,0.96739,0.93522,0.00025275,0.00025275,0.00025275
39,395.472,0.54263,0.73564,0.92766,0.73933,0.87455,0.88772,0.77492,0.53298,0.92501,0.93479,0.0001785,0.0001785,0.0001785
